"srs_pcv.failure","srs_bacto.fails.risk.factor","srs_icc","srs_tcc","srs_sample.month","wtw_manganese.removal","wtw_phosphate.dosing","srs_total.risk.factor","srs_fails_in_any_previous_year","srs_aow","srs_free.chlorine","srs_fails_in_previous_year","srs_ooa","srs_total.chlorine","srs_stor_vol","wtw_hypo"
0,1,1258,1778,5,0,1,34,0,2.543517379,0.346550866,0,5,0.396550866,0.306550866,0
0,1,748,1348,4,0,1,34,0,2.554178902,0.45721239,0,5,0.45721239,0.31721239,1
0,1,4713,5873,9,0,1,34,0,2.574251849,0.377285336,0,5,0.397285336,0.337285336,1
0,1,330,930,11,0,1,34,0,2.607787291,0.520820779,0,5,0.630820779,0.370820779,1
0,1,324,744,12,0,1,34,0,2.537134705,0.480168193,0,5,0.560168193,0.300168193,1
0,1,122,562,12,0,1,34,0,2.606805481,0.579838968,0,5,0.669838968,0.369838968,1
0,1,233,193,1,0,1,34,0,2.611434039,0.804467527,0,5,0.904467527,0.374467527,1
0,1,90,250,1,0,1,34,0,2.583046292,0.636079779,0,5,0.726079779,0.346079779,1
0,1,124,644,2,0,1,34,0,2.579877917,0.672911404,0,5,0.712911404,0.342911404,1
0,1,39,79,2,0,1,34,0,2.523145139,0.536178627,0,5,0.646178627,0.286178627,1
0,1,38,358,3,0,1,34,0,2.53756397,0.530597457,0,5,0.620597457,0.300597457,1
0,1,73,273,3,0,1,34,0,2.534622188,0.577655675,0,5,0.637655675,0.297655675,1
0,1,152,1152,3,0,1,34,0,2.585668797,0.648702285,0,5,0.728702285,0.348702285,1
0,1,38,758,4,0,1,34,0,2.555376884,0.538410372,0,5,0.628410372,0.318410372,1
0,1,83,283,5,0,1,34,0,2.593950654,0.676984142,0,5,0.736984142,0.356984142,1
0,1,322,682,6,0,1,34,0,2.566736437,0.539769924,0,5,0.609769924,0.329769924,1
0,1,122,482,6,0,1,34,0,2.588728363,0.741761851,0,5,0.771761851,0.351761851,1
0,1,363,443,7,0,1,34,0,2.616157122,0.589190609,0,5,0.779190609,0.379190609,1
0,1,551,911,7,0,1,34,0,2.55497003,0.538003518,0,5,0.648003518,0.318003518,1
0,1,4833,3953,7,0,1,34,0,2.594711034,0.397744522,0,5,0.457744522,0.357744522,1
0,1,5275,7275,8,0,1,34,0,2.610437035,0.353470523,0,5,0.473470523,0.373470523,1
0,1,3912,7912,8,0,1,34,0,2.538180764,0.221214252,0,5,0.331214252,0.301214252,1
0,1,846,2126,8,0,1,34,0,2.582133889,0.385167377,0,5,0.445167377,0.345167377,1
0,1,12997,7197,9,0,1,34,0,2.529522022,0.23255551,0,5,0.33255551,0.29255551,1
0,1,10670,5910,9,0,1,34,0,2.543688579,0.226722067,0,5,0.376722067,0.306722067,1
0,1,1272,1112,10,0,1,34,0,2.555577922,0.608611409,0,5,0.698611409,0.318611409,1
0,1,438,358,11,0,1,34,0,2.518305546,0.411339033,0,5,0.461339033,0.281339033,1
0,1,278,1638,11,0,1,34,0,2.555205308,0.398238796,0,5,0.438238796,0.318238796,1
0,1,249,369,11,0,1,34,0,2.603935597,0.556969085,0,5,0.646969085,0.366969085,1
0,1,74,274,12,0,1,34,0,2.551001412,0.5040349,0,5,0.6040349,0.3140349,1
0,1,204,604,1,0,1,34,0,2.576923095,0.459956583,0,5,0.559956583,0.339956583,1
0,1,272,432,1,0,1,34,0,2.566320643,0.599354131,0,5,0.659354131,0.329354131,1
0,1,81,561,1,0,1,34,0,2.535588272,0.29862176,0,5,0.33862176,0.29862176,1
0,1,125,445,2,0,1,34,0,2.599703844,0.432737332,0,5,0.512737332,0.362737332,1
0,1,117,717,3,0,1,34,0,2.583813186,0.486846674,0,5,0.556846674,0.346846674,1
0,1,48,248,3,0,1,34,0,2.596390498,0.379423986,0,5,0.409423986,0.359423986,1
0,1,124,684,3,0,1,34,0,2.527760875,0.490794363,0,5,0.540794363,0.290794363,1
0,1,236,796,4,0,1,34,0,2.589337607,0.312371095,0,5,0.402371095,0.352371095,1
0,1,287,767,5,0,1,34,0,2.558093955,0.321127443,0,5,0.351127443,0.321127443,1
0,1,244,5324,5,0,1,34,0,2.599061142,0.422094629,0,5,0.452094629,0.362094629,1
0,1,7122,13402,5,0,1,34,0,2.581672532,0.234706019,0,5,0.264706019,0.344706019,1
0,1,564,9324,6,0,1,34,0,2.595259789,0.318293276,0,5,0.348293276,0.358293276,1
0,1,8115,12035,6,0,1,34,0,2.572270144,0.185303631,0,5,0.265303631,0.335303631,1
0,3,196,656,5,0,1,36,0,1.659177178,0.622971958,0,3,0.662971958,1.182971958,0
1,3,614,1874,8,0,1,36,0,1.685140843,0.668935623,0,3,0.728935623,1.208935623,0
0,3,244,664,8,0,1,36,0,1.60853834,0.42233312,0,3,0.45233312,1.13233312,0
0,3,159,1439,4,0,1,36,1,1.653928227,0.557723007,1,3,0.597723007,1.177723007,1
0,3,444,4084,6,0,1,36,1,1.679436594,0.743231374,0,3,0.753231374,1.203231374,1
0,3,2,122,7,0,1,36,1,1.675478376,0.559273156,0,3,0.649273156,1.199273156,1
0,3,0,240,7,0,1,36,1,1.653967182,0.787761962,0,3,0.877761962,1.177761962,1
0,3,49,729,8,0,1,36,1,1.692326168,0.616120948,0,3,0.676120948,1.216120948,1
0,3,157,237,8,0,1,36,1,1.650014931,0.583809711,0,3,0.663809711,1.173809711,1
0,3,82,402,9,0,1,36,1,1.630684948,0.524479728,0,3,0.634479728,1.154479728,1
0,3,83,403,9,0,1,36,1,1.613273125,0.557067905,0,3,0.597067905,1.137067905,1
0,3,30,150,10,0,1,36,1,1.616151836,0.639946616,0,3,0.669946616,1.139946616,1
0,3,118,198,10,0,1,36,1,1.637832391,0.591627171,0,3,0.681627171,1.161627171,1
0,3,151,271,11,0,1,36,1,1.658068647,0.691863426,0,3,0.741863426,1.181863426,1
0,3,85,205,11,0,1,36,1,1.672405728,0.686200508,0,3,0.746200508,1.196200508,1
0,3,34,274,11,0,1,36,1,1.646888239,0.590683019,0,3,0.690683019,1.170683019,1
0,3,45,45,12,0,1,36,1,1.697492813,0.601287592,0,3,0.651287592,1.221287592,1
0,3,6,246,12,0,1,36,1,1.635565558,0.539360337,0,3,0.629360337,1.159360337,1
0,3,35,315,1,0,1,36,1,1.652111793,0.625906573,0,3,0.675906573,1.175906573,1
0,3,37,277,1,0,1,36,1,1.639444688,0.473239467,0,3,0.523239467,1.163239467,1
0,3,44,364,2,0,1,36,1,1.671292267,0.645087047,0,3,0.775087047,1.195087047,1
0,3,41,161,2,0,1,36,1,1.632006898,0.635801678,0,3,0.685801678,1.155801678,1
0,3,120,80,3,0,1,36,1,1.654059745,0.597854525,0,3,0.667854525,1.177854525,1
0,3,-5,235,3,0,1,36,1,1.682836287,0.676631067,0,3,0.746631067,1.206631067,1
0,3,41,361,4,0,1,36,1,1.614629912,0.468424691,0,3,0.508424691,1.138424691,1
0,3,10,370,4,0,1,36,1,1.693737353,0.597532133,0,3,0.647532133,1.217532133,1
0,3,350,430,4,0,1,36,1,1.640112514,0.453907294,0,3,0.563907294,1.163907294,1
0,3,205,405,5,0,1,36,1,1.640873569,0.524668349,0,3,0.554668349,1.164668349,1
0,3,633,1393,6,0,1,36,1,1.639582713,0.513377493,0,3,0.613377493,1.163377493,1
0,3,207,2527,6,0,1,36,1,1.653840345,0.567635125,0,3,0.657635125,1.177635125,1
0,1,113,593,5,0,1,39,0,3.345629135,0.679219834,0,3,0.699219834,2.339219834,0
0,1,438,1718,4,0,1,39,0,3.342843249,0.676433947,0,3,0.676433947,2.336433947,1
0,1,32,512,8,0,1,39,0,3.295408256,0.698998954,0,3,0.778998954,2.288998954,1
0,1,1,2201,11,0,1,39,0,3.334141372,0.65773207,0,3,0.75773207,2.32773207,1
0,1,198,438,12,0,1,39,0,3.352471102,0.6460618,0,3,1.4860618,2.3460618,1
0,1,126,1246,12,0,1,39,0,3.29987525,0.573465948,0,3,0.603465948,2.293465948,1
0,1,6,126,1,0,1,39,0,3.32766077,0.661251468,0,3,0.761251468,2.321251468,1
0,1,30,230,1,0,1,39,0,3.296408739,0.629999437,0,3,0.739999437,2.289999437,1
